scopeid,userid,username
1008,81761,nnanm
1008,81842,jchig
1008,82213,jklamka
1008,82796,BCAS9
1008,82807,cls7v
1008,82809,bjaba
1008,82827,kpull
1008,82841,sveea
1008,83541,bcoo8
1008,83542,jdoin
1008,83581,sdhun
1008,83921,jagua
1008,85062,sandj
1008,87472,ckloc
1008,87483,pmohf
1008,87498,dbosj
1008,87502,ssaqj
1008,87520,kcosc
1008,87531,ghurle
1008,87547,smuvw
1008,87555,sraj6
1008,87572,sclou
1008,88162,batta
1008,88163,kfrae
1008,88164,jhzno
1008,88214,mbaba
1008,88215,mbaud
1008,88230,joter
1008,88618,nkaaa
1008,89035,rgaok
1008,90458,sdakc
1008,90460,anuku
1008,90465,afyke
1008,90469,jsto0
1008,90666,gwhit
1008,94472,rmcl4
1008,94642,jbecj
1008,95938,kwhju
1008,100707,RMOLINA
1008,101205,tbus8
1008,101616,dbeum
1008,101742,jdume
1008,101750,nmalp
1008,101753,dfulp
1008,114336,nallf
1008,120307,skhcg
1008,120309,emerw
1008,123209,jmcgy
1008,123833,pmcce
1008,126193,amo22
1008,126195,gduma
1008,126197,mmoso
1008,126202,rba53
1008,126288,sdimi
1008,126358,jdonv
1008,126359,khamk
1008,128214,jcau4
1008,128923,mwoo0
1008,134957,jkooq
1008,135580,sshbd
1008,137901,skhaq
1008,139292,ctrip
1008,141330,smbai
1008,141866,svarv
1008,141944,cgrih
1008,155439,jgimc
1008,156114,pgrew
1008,156115,gmulo
1008,156126,whutc
1008,162765,sanjv
1008,163217,jdohk
1008,179893,jtolb
1008,180878,rroul
1008,180883,cla2x
1008,181695,mdaws
1008,181698,gsond
1008,181699,salequin
1008,181703,jgunr
1008,184104,mzhan
1008,185010,mron9
1008,197982,ctmadmin
1008,200894,jmayu
1008,202453,imazz
1008,205069,ahalk
1008,215531,bgrej
1008,225103,cbaln
1008,225931,nparb
1008,231447,dblon
1008,231908,sali4
1008,236727,lsch2
1008,241373,mzago
1008,241697,rmced
1008,241821,cboeh
1008,242283,sgoodchi
1008,244634,pupshaw
1008,244670,CLSL5
1008,244685,jpanella
1008,245480,CKOOO
1008,247435,vsarw
1008,252654,sys-bpbot035
1008,266143,sth37
1008,280453,bkana
1008,285167,mdil6
1008,302054,akers
1008,302123,cdufg
1008,302449,ssv99
1008,302790,kkowy
1008,314897,jbrqj
1008,315641,cgb65
1008,315642,gbri7
1008,318598,phunu
1008,318700,korei
1008,318777,gfrig
1008,318806,ccasf
1008,319100,arobi
1008,319101,dmcve
1008,319146,cngu1
1008,320264,kga32
1008,320265,bfarfan
1008,325130,mazeg
1008,331435,cvarl
1008,331437,akrus
1008,332940,tches
1008,336965,mdolan12
1008,336970,jmrazek
1008,336971,wiesemqp
1008,339249,mmc38
1008,343188,lbos2
1008,343247,smcm7
1008,343256,ropri
1008,343275,msiddiqu
1008,350101,aagc9
1008,350161,kalmo
1008,350166,laloo
1008,350167,salsv
1008,350184,vanbu
1008,350194,pandn
1008,350220,darana
1008,350226,darmv
1008,350311,aj02v
1008,350348,dbarba
1008,350357,lcurg
1008,350381,gsoeder
1008,350393,amoo8
1008,350401,jbema
1008,350413,rberr
1008,350414,sberz
1008,350420,vbhah
1008,350423,kbhak
1008,350437,dbhbb
1008,350439,abhbh
1008,350480,ebrit
1008,350482,jblb9
1008,350483,bblam
1008,350504,sbo45
1008,350513,lboab
1008,350532,lbourbon
1008,350541,lboyq
1008,350556,cobre
1008,350564,jbrinati
1008,350566,pbrog
1008,350571,jbrbm
1008,350596,Hsan8
1008,350598,sbunt
1008,350600,dbu4g
1008,350615,dbyrn
1008,350625,dcaldwel
1008,350689,schamber
1008,350690,lchbc
1008,350695,kchcf
1008,350714,jcrud
1008,350762,schq9
1008,350765,tchip
1008,350775,achpj
1008,350794,jclancy
1008,350808,dco2g
1008,350821,mconh
1008,350826,dconk
1008,350827,gphim
1008,350844,gcou2
1008,350849,jcoym
1008,350858,scraw
1008,350861,jcrol
1008,350870,mcumw
1008,350872,mcun6
1008,350899,ddalu
1008,350904,sdamc
1008,350913,sdaniela
1008,350943,mdavy
1008,350946,ydav2
1008,350953,sdefl
1008,350970,kdens
1008,351020,gdieh
1008,351024,mdilk
1008,351026,cdi5n
1008,351039,adi23
1008,351055,mdohj
1008,351111,ado33
1008,351116,bdonp
1008,351118,acyzs
1008,351122,lgent